im kurupted,G11111
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
SOGxJAGS,Tu q haces?
Urple197,Spent my gp
Marbellizer,And you are so jelly of ingame money
ThyrtySeven,Boy a bandos para ver q tal 
s7inns,Lol your so good that your standing at the ge
Rushpearl680,": Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
SOGxJAGS,Como me voeo
SOGxJAGS,?
Marbellizer,Just finished a slay task lmao
SOGxJAGS,Como me veo?
s7inns,And your at gew
Urple197,I stand here all the time
s7inns,Doing what
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ThyrtySeven,Te ves malandrso
SOGxJAGS,Bye
Marbellizer,Afking for a sec cause i was just doing something on other acc
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Marbellizer,That required a lot of attention lol
Urple197,I watch convos sometimes they f7nny
bikorey123,Comap telepro ya sabes donde
Marbellizer,And now crawl back into your cave
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
SOGxJAGS,Suerte
bikorey123,Pest control
SOGxJAGS,Tasse
joanse88,Pest control
ThyrtySeven,Espera
SOGxJAGS,Para ti
prayNslay26,Bye
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,"Just gave a guy 300k to help buy a cannon, i feel good!"
Kappa Papi,My hero 
ImTheCosmos,Thank you
ImTheCosmos,Lol
Kappa Papi,Its good helping people
Kappa Papi,Just dont get scammed
ImTheCosmos,It feels good to help out
IX_JOBI_XI,3trade to see what i got
Kappa Papi,Road
ImTheCosmos,Nah i wasnt scammed
Roadhawgg,Yeah?
IX_JOBI_XI,Trade to see my cool item
Kappa Papi,Bruh
Kappa Papi,Youre flexing 
57 Fire 1542,U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  
Kappa Papi,But no tomb of fire and nature staff
ImTheCosmos,Guy needed help
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Kappa Papi,I need heko
Kappa Papi,Help
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Kappa Papi,Are rapiers worth it?
LilSami420,Lol
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
IX_JOBI_XI,Wow
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
IX_JOBI_XI,Wish i can have that
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
LilSami420,They were all given to me for free haha
ImTheCosmos,Freedom!
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
LilSami420,:D
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
IX_JOBI_XI,Fletching is so easy
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Robbie q p,S14
Carp crap,So are you
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
IX_JOBI_XI,U r
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
ImTheCosmos,I like fletching while do8ng agility
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
IX_JOBI_XI,Thats naughty
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
IX_JOBI_XI,Naughty naughty naughty
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
57 Fire 1542," Join  Sr Swap  clan, big 350M osrs drop party T—O—N—I—G—H—T! "
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,"Im gunna blast some poo out my ass soon, i feel it brewing"
IX_JOBI_XI,Reported
Kids Dranqe,Nice
57 Fire 1542," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,Ker pow!
57 Fire 1542, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
M249 SAW,Whats it smell like?
Botlepopper,Hi
Seithskratti,Hello
ImTheCosmos,Idk yet
ImTheCosmos,Probs shitty
M249 SAW,Yeah?
ImTheCosmos,Little acidicy
Botlepopper,Tysm
IX_JOBI_XI,Selling headless arrow
Seithskratti,Need anything else?
ImTheCosmos,I better shower
Botlepopper,Ring n necklas
Botlepopper,I spent all my coins on bond
IX_JOBI_XI,                     Go slay
IX_JOBI_XI,U a lvl 92
ImTheCosmos,Go slay hole
Botlepopper,Ya I headed that way in min
IX_JOBI_XI,What is ur task
Botlepopper,Blue drags
ImTheCosmos,Congrats
IX_JOBI_XI,Thanks
Botlepopper,Ty bro 
ImTheCosmos,Uh huh
IX_JOBI_XI,I need 25 fletching for frem trial
Seithskratti,Np hope it helps ya out
Botlepopper,Ya it does alot
ImTheCosmos,I fletch sometimes
IX_JOBI_XI,My old acc had 99
M249 SAW,Haha slayer more like gayer
X_GoldenCatX,1.11111E+79
IX_JOBI_XI,But i botted and they found out
ImTheCosmos,Oh yea?
ImTheCosmos,Oh why bot?
IX_JOBI_XI,I think my friend from school reported e
IX_JOBI_XI,Bc i showed him
ImTheCosmos,Probs
ImTheCosmos,Get all nervous and jelly
IX_JOBI_XI,But he keeps saying he didnt and i know it was him
M249 SAW,Murder on my mind
ImTheCosmos,My friend used to let me use his account
ImTheCosmos,So i sold all his stuff and ripped him off
M249 SAW,Lmao
IX_JOBI_XI,Ur rude an mean
ImTheCosmos,Teach him for breaking the rules
Rushpearl680,R R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,"Its okay, he needed that lesson"
IX_JOBI_XI,Rude gyal
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Popular Goat,Sup
ImTheCosmos,Hello
vien17,Buying 30k law rune
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,Nice axe
Popular Goat,Hows it hangin
vien17,Buying  50k law rune
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,Just fine thk u
ADIINDA,Lol
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Popular Goat,Friends?
ImTheCosmos,How are you?
ImTheCosmos,I have a couple
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Popular Goat,I need rich friends 
ImTheCosmos,Okay
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,Why?
Popular Goat,For loand
Popular Goat,Loans
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,For a loan?
Popular Goat,Yeh
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
ImTheCosmos,"Oh im not rich, talk to that guy behind you"
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Popular Goat,Sup
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Popular Goat,U rich bro
nenkaizen,Yes
ADIINDA,Yeh he is
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,Nobody gives loans my man
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,At least not to me
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ADIINDA,If i was a rich girl. Nah nah nah nah nah nah nah 
ImTheCosmos,Im a scoundrel
ADIINDA,I would have all the moneys in the world . If i was a juku girl
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,Fiddler on the roof fan huh?
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
Donkiq,2lol
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Woot
Rushpearl680, Want to T—R—A—N—S—F—E—R your R—S3/07/D—M—M gp? Join  Sr Swap !  
KingSplenge,Giving away a few mill first come first serve pm me !
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
KingSplenge,Giving away a few mill first come first serve pm me !
Rushpearl680," Join  Sr Swap , R—U—N—E—S—C—A—P—E's most T—R—U—S—T—E—D swap cc!  "
ImTheCosmos,When does rs3 come to mobile?
KingSplenge,Giving away a few mill first come first serve pm me !
Pink Drip,Never
Pink Drip,Jk soon tho
ImTheCosmos,I just want my og account back
Asap potato,Yo
Asap potato,Ruby
Pink Drip,Fuck rs3 broski
KingSplenge,Giving away a few mill first come first serve pm me !
Pink Drip,Osrs it is
ImTheCosmos,I agree
Pink Drip,Yaas
ImTheCosmos,But my account didnt deserve that fate
Pink Drip,Aw 
Pink Drip,TRUE
Pink Drip,May his soul rest in peace on rs3
ImTheCosmos,=/
Pink Drip,I'll pray for him
KingSplenge,Giving away a few mill first come first serve pm me !
ImTheCosmos,Neat
Pink Drip,Gl on your reborn
Pink Drip,You arose from the ashes
